index	invalid_word	pdb_plausible?	context	occurrences	replace_with	remove	invalidate	allow
39	5ken	Y	'cited reference and pdb 5ken', 'figures 1, 2, supplementary figures 1, 2, supplementary table 2 and pdb 5ken', 'supplementary table 2 and pdb 5kel, 5ken and 5kem'	4				
40	discussion	N	'abstract, discussion page 1914', 'discussion p 17406, figure 6', 'discussion p. 389', 'discussion page 357', 'discussion page 8', 'discussion text p. 228', 'discussion, page 809', 'figure 1, discussion', 'figure 1, result and discussion', 'figure 2, results and discussion', 'materials and methods, discussion'	24				
41	scheme	N	'abstract, scheme 1', 'figure 1, supporting information scheme 1 and pdb 1nc2', 'figure 1, supporting information scheme 1 and pdb 1nc4', 'introduction, scheme 1', 'materials and methods and scheme 3', 'materials and methods and scheme 4', 'materials and methods and scheme 5', 'materials and methods and scheme 6'	31				
42	accession	N	'accession 23508148', 'accession no. p04403 cited', 'accession no. p07130 cited', 'accession number: m62321', 'accession u17066', 'accession u17066 and table 3', 'accession u17066 and table 4', 'accession: p26664', 'author provided accession', 'author provided accession no. x74735 and cited reference'	33				
43	p04403	N	'accession no. p04403 cited'	1				
44	no	N	'accession no. p04403 cited', 'accession no. p07130 cited', 'author provided accession no. x74735 and cited reference'	3				
45	p07130	N	'accession no. p07130 cited'	1				
46	m62321	N	'accession number: m62321'	1				
47	number	N	'accession number: m62321', 'author provided accession number', 'author provided accession number in cited reference', 'cited genbank accession number', 'materials and methods (accession number)', 'materials and methods, author provided accession number', 'subject and methods (cited genbank accession number)'	7				
48	u17066	N	'accession u17066', 'accession u17066 and table 3', 'accession u17066 and table 4'	3				
49	p26664	N	'accession: p26664'	1				
50	additional	N	'additional file 1', 'additional file 2', 'additional file 3', 'additional file 4', 'additional file 4, tables 1 and 2', 'additional file 4, tables 1 and 2 and figure 3', 'additional file 4: table s4', 'additional file 5', 'additional file 6', 'additional file 9', 'additional file table s1', 'additional files 2 and 9'	37				
51	file	N	'additional file 1', 'additional file 2', 'additional file 3', 'additional file 4', 'additional file 4, tables 1 and 2', 'additional file 4, tables 1 and 2 and figure 3', 'additional file 4: table s4', 'additional file 5', 'additional file 6', 'additional file 9', 'additional file table s1', 'data file s1'	148				
52	tables	N	'additional file 4, tables 1 and 2', 'additional file 4, tables 1 and 2 and figure 3', 'author provided, figures 2, 3, tables 1, 2, supplemental tables 5, 6', 'author provided, figures 2, 3, tables 1, 2, supplemental tables 5, 6, and 7', 'author provided, tables 1 and 2, figures 2 and 3', 'extended data fig. 5b and extended data tables 1, 2 and pdb 4y7m'	4072				
53	s4	N	'additional file 4: table s4', 'data s1, data s2, data s3, data s4', 'data s1, data s2, data s3, data s4, data s5', 'data s1, data s2, data s3, data s4, data s5, data s6', 'data s1, data s2, data s3, data s4, data s6', 'data s1, data s2, data s4, data s5', 'data s1, data s2, data s4, data s5, data s6'	1737				
54	s1	N	'additional file table s1', 'appendix table s1', 'cited reference and supplemental table s1', 'data file s1', 'data file s1 and table s3', 'data file s1, figure 3', 'data file s1, figure 4', 'data file s1, figure 5', 'data file s1, figure 6', 'data file s1, figures 4 and 6', 'data file s1, supplemental figure 2'	3032				
55	files	N	'additional files 2 and 9', 'figures 2, 3, 4, 5, additional files 3 and 5', 'figures 2, 3, 4, additional files 5, 6 and 7', 'figures 3, 5, supplementary files 1, 2 and pdb 5ezo', 'supplementary files 4 and 6', 'supplementary files s2, s3', 'supplementary files s2, s3, figure 3', 'table ii and figure 7 and supplementary files 4 and 7'	11				
56	aetiology	N	'aetiology text page 925'	1				
57	animals	N	'animals and methods'	1				
58	another	N	'another 10/1/23 test'	1				
59	test	N	'another 10/1/23 test', 'june30 2023 test', 'structure test', 'test 10/1/2023', 'test p e881', 'test page 121', 'test spliced bcell'	8				
60	10/1/23	N	'another 10/1/23 test'	1				
61	appendix	N	'appendix 1', 'appendix a', 'appendix a and figure 4, appendix a', 'appendix b', 'appendix figure s2', 'appendix figure s2, figure 5, 2, table ev1', 'appendix table s1', 'figure 1 and appendix figure s1', 'figure 2 and appendix figure s1', 'figure 2 and appendix figures s1 and s7', 'figure 2, appendix figures s1 and s7'	23				
62	a	N	'appendix a', 'appendix a and figure 4, appendix a', 'fig 2 a', 'fig 2 b, fig 3 a, fig 4 a', 'fig 2 b, fig 4 a', 'fig 6 a', 'fig 6 a, fig 6 b', 'fig. 2 a, fig. 2 b', 'fig. 3, fig. 5 a, fig. 8 a', 'fig. 6 a', 'fig.1, fig.2 a', 'fig.7 a', 'figure 1 a , b, figure 2 a', 'figure 1 a b and figure 2c', 'figure 1 a, b'	98				
63	b	N	'appendix b', 'cited reference and b. kim, personal communication', 'fig 1a,b', 'fig 2 b', 'fig 2 b, fig 3 a, fig 4 a', 'fig 2 b, fig 3 b, fig 4 b', 'fig 2 b, fig 4 a', 'fig 2a,b,c, fig 6.', 'fig 6 a, fig 6 b', 'fig. 1 b', 'fig. 1 b, fig. 3 b', 'fig. 1 c, fig. 2 b', 'fig. 2 a, fig. 2 b', 'fig. 5 b', 'fig. 5a,b,d'	269				
64	s2	N	'appendix figure s2', 'appendix figure s2, figure 5, 2, table ev1', 'data s1, data s2', 'data s1, data s2, data s3, data s4', 'data s1, data s2, data s3, data s4, data s5', 'data s1, data s2, data s3, data s4, data s5, data s6', 'data s1, data s2, data s3, data s4, data s6', 'data s1, data s2, data s3, data s5, data s6'	2776				
65	ev1	N	'appendix figure s2, figure 5, 2, table ev1', 'dataset ev1', 'figure 1 and dataset ev1', 'figure 1 and ev1', 'figure 1, ev1 and dataset ev1', 'figure 1, ev1 and datsaset ev1', 'figure 4 and dataset ev1', 'figure ev1', 'figure ev5 and dataset ev1', 'figures 1 and ev1', 'figures 1, 2 and ev1, ev3', 'figures 1, 2 and ev1, ev3, ev4'	12				
66	aqp4	N	'aqp4 (111-130)', 'aqp4 (121-140)', 'aqp4 (131-150)', 'aqp4 (141-160)', 'aqp4 (151-170)', 'aqp4 (161-180)', 'aqp4 (171-190)', 'aqp4 (181-200)', 'aqp4 (191-210)', 'aqp4 (201-220)'	10				
67	author	N	'author provided', 'author cited (biozol)', 'author cited genbank id', 'author cited uniprot id', 'author communcation', 'author communication', 'author communication.', 'author contact', 'author corrected sequence', 'author correspondence', 'author correspondence, figure 3, 4', 'author e-mail', 'author identifed uniprot q12955-3'	100				
68	provided	N	'author provided', 'author provided accession', 'author provided accession no. x74735 and cited reference', 'author provided accession number', 'author provided accession number in cited reference', 'author provided and figure s5', 'author provided and supplemental figures', 'author provided data', 'author provided data, figure 1a'	69				
69	biozol	N	'author cited (biozol)'	1				
70	id	N	'author cited genbank id', 'author cited uniprot id', 'author provided genbank id jx112656.1', 'author provided id', 'author provided uniprot id p31948', 'author specified genbank id', 'derived from protein id', 'figure 1 and pdb id 4xnm', 'figure 2, cited genbank id', 'figure 3 and pride id:pxd021755'	19				
71	genbank	N	'author cited genbank id', 'author provided genbank accession gu372973', 'author provided genbank id jx112656.1', 'author specified genbank id', 'cited genbank accession', 'cited genbank accession number', 'fig 1 and genbank record', 'figure 2, cited genbank id', 'figure 3 and genbank 1545803', 'figure 4, cited genbank accession'	23				
72	uniprot	N	'author cited uniprot id', 'author identifed uniprot q12955-3', 'author provided uniprot id p31948'	3				
73	communcation	N	'author communcation'	1				
74	communication	N	'author communication', 'author communication.', 'authors communication', 'cited reference and b. kim, personal communication', 'direct communication', 'direct communication with author', 'fig 1, authors communication', 'figure 1, author communication', 'figure 1, figure s1, author communication', 'figure 2 and author communication'	20				
75	contact	N	'author contact'	1				
76	corrected	N	'author corrected sequence'	1				
77	sequence	N	'author corrected sequence', 'author provided sequence', 'author provided sequence, figures 4, 6', 'author published sequence', 'experimental procedures and standard referenced sequence', 'materials and methods, author confirmed sequence', 'sequence inferred from figure 7', 'standard reference sequence'	13				
78	correspondence	N	'author correspondence', 'author correspondence, figure 3, 4', 'figure 1 and author correspondence', 'figure 2, 3 and author correspondence', 'figure 2, author correspondence', 'table s2, s3, and author correspondence'	6				
79	mail	N	'author e-mail', 'matsuda e-mail response'	2				
80	e	N	'author e-mail', 'figure 1 and supplementary figure e-1', 'figure 1 and table 3 and results page 5 and supplementary tables e-1, e-3, and e-4', 'figure 1 and tables 2 and 3 and supplementary tables e-1 e-3, and e-4', 'figure 1 e,f', 'figure 1 g and figure 3 e', 'figure 1(e)', 'figure 10c and e', 'figure 1a, c, e and table 2'	118				
81	identifed	N	'author identifed uniprot q12955-3'	1				
82	q12955	N	'author identifed uniprot q12955-3'	1				
83	x74735	N	'author provided accession no. x74735 and cited reference'	1				
84	in	N	'author provided accession number in cited reference', 'deduced from amino acid locations in abstract', 'figure 4 and text in p. 5239', 'figure 4b in supplemental data', 'figure 5b in supplemental data, supplementary table 7', 'figure 6 and note added in proof', 'in both text and figures.', 'positions provided in figure 2 on author provided accession'	31				
85	s5	N	'author provided and figure s5', 'data file s1, supplemental figure s5', 'data file s5', 'data s1, data s2, data s3, data s4, data s5', 'data s1, data s2, data s3, data s4, data s5, data s6', 'data s1, data s2, data s3, data s5, data s6', 'data s1, data s2, data s4, data s5', 'data s1, data s2, data s4, data s5, data s6'	1330				
86	figures	N	'author provided and supplemental figures', 'author provided sequence, figures 4, 6', 'author provided, figures 1, 2, 3 and table 1', 'author provided, figures 2, 3, tables 1, 2, supplemental tables 5, 6', 'author provided, figures 2, 3, tables 1, 2, supplemental tables 5, 6, and 7', 'author provided, tables 1 and 2, figures 2 and 3'	12072				
87	1a	N	'author provided data, figure 1a', 'extended data figure 1a, d', 'fig 1a', 'fig 1a,b', 'figure 1 and supplementary figure 1a', 'figure 1 and supplementary table 1a', 'figure 1a - cdc atlanta aotus', 'figure 1a - leticia aotus', 'figure 1a and 1b', 'figure 1a and 4b', 'figure 1a and 5', 'figure 1a and b'	252				
88	gu372973	N	'author provided genbank accession gu372973'	1				
89	jx112656	N	'author provided genbank id jx112656.1'	1				
90	identfier	N	'author provided identfier'	1				
91	identifier	N	'author provided identifier', 'author provided identifier materials and methods', 'author provided protein identifier', 'derived from author provided identifier', 'derived from author-provided identifier', 'figure 6 and author provided identifier', 'figure 7, author provided identifier', 'identifier on page 236'	9				
92	protein	N	'author provided protein identifier', 'derived from protein id'	2				
93	p31948	N	'author provided uniprot id p31948'	1				
94	published	N	'author published sequence', 'published reference'	2				
95	specified	N	'author specified genbank id'	1				
96	submission	N	'author submission', 'submission and supplementary figure 1', 'submission only', 'table 1 and submission'	4				
97	submitted	N	'author submitted', 'table i and author submitted', 'table 1 and author subm1tted'	2				
98	authors	N	'authors communication', 'authors provided', 'corespondency from authors', 'fig 1, authors communication', 'other reference from study authors'	5				
99	ay278488	N	'ay278488'	1				
100	background	N	'background'	1				
101	immunol	N	'behar, et al., j. immunol. 175: 3268-3272', 'figure 1. milich et al. 1986. j. immunol. 137:2703-2710.', 'oftung et al, j immunol 1990, 144, 1478-1483', 'rambukkana et al, 1991 fems micro immunol 76, 39', 'renggli et al., immunol. lett. 1995'	5				
102	j	N	'behar, et al., j. immunol. 175: 3268-3272', 'cao et al, j gen virol 2002, 83, 3023.', 'charbit et al embo j (1986)', 'davignon et al., j virol (1996). 70:4', 'dolan et al. (1998) j virol 72:2010, figure 3', 'dolan et al. (1998) j virol 72:2010, figure 4', 'figure 1. milich et al. 1986. j. immunol. 137:2703-2710.'	31				
103	al	N	'behar, et al., j. immunol. 175: 3268-3272', 'booth et al (1988)', 'bundle et al (1989)', 'bundle et al (1989) figure 1', 'cao et al, j gen virol 2002, 83, 3023.', 'cassatro et al. (2005) infect immun 73:8079', 'charbit et al embo j (1986)', 'ching et al (1992)', 'chua et al 1990 pmid 2341191', 'chua-intra, et al. infect. immun. 1998.'	90				
104	et	N	'behar, et al., j. immunol. 175: 3268-3272', 'booth et al (1988)', 'bundle et al (1989)', 'bundle et al (1989) figure 1', 'cao et al, j gen virol 2002, 83, 3023.', 'cassatro et al. (2005) infect immun 73:8079', 'charbit et al embo j (1986)', 'ching et al (1992)', 'chua et al 1990 pmid 2341191', 'chua-intra, et al. infect. immun. 1998.'	90				
105	behar	N	'behar, et al., j. immunol. 175: 3268-3272'	1				
106	booth	N	'booth et al (1988)'	1				
107	bundle	N	'bundle et al (1989)', 'bundle et al (1989) figure 1'	2				
108	calrlong36	N	'calrlong36'	1				
109	virol	N	'cao et al, j gen virol 2002, 83, 3023.', 'davignon et al., j virol (1996). 70:4', 'dolan et al. (1998) j virol 72:2010, figure 3', 'dolan et al. (1998) j virol 72:2010, figure 4', 'figure 6 and virol. 133:301-314', 'j gen virol. 2000, 81:2707-13', 'j. gen. virol. 82:191-199', 'mccarthy et al j virol 1993'	15				
110	cao	N	'cao et al, j gen virol 2002, 83, 3023.'	1				
111	gen	N	'cao et al, j gen virol 2002, 83, 3023.', 'j gen virol. 2000, 81:2707-13', 'j. gen. virol. 82:191-199'	3				
112	case	N	'case report', 'case report p 191', 'case report, page 682', 'case reports', 'case reports and methods', 'clinical case presentation', 'figure 1, case report'	7				
113	report	N	'case report', 'case report p 191', 'case report, page 682', 'cited reference: https://www.immunitrack.com/free-coronavirus-report-for-download/', 'figure 1, case report', 'report p 213', 'case repageort page 191', 'repageort page 213'	6				
114	reports	N	'case reports', 'case reports and methods'	2				
115	infect	N	'cassatro et al. (2005) infect immun 73:8079', 'chua-intra, et al. infect. immun. 1998.', 'figure 1. sun et al. 1991. infect. immun. 59(1):114-118.'	3				
116	immun	N	'cassatro et al. (2005) infect immun 73:8079', 'chua-intra, et al. infect. immun. 1998.', 'figure 1. sun et al. 1991. infect. immun. 59(1):114-118.'	3				
117	cassatro	N	'cassatro et al. (2005) infect immun 73:8079'	1				
118	charbit	N	'charbit et al embo j (1986)'	1				
119	embo	N	'charbit et al embo j (1986)'	1				
120	chart	N	'chart 1', 'chart 1 and experimental procedures', 'chart 3', 'table 1, chart 2 structure 16'	4				
121	experimental	N	'chart 1 and experimental procedures', 'experimental (page 92)', 'experimental and results p. 474', 'experimental methods', 'experimental part', 'experimental procedures and figure 1', 'experimental procedures and pdb 3aqi9', 'experimental procedures and pdb 4xc1 and 4xc3', 'experimental procedures and standard referenced sequence'	28				
122	procedures	N	'chart 1 and experimental procedures', 'experimantal procedures', 'experimental procedures and figure 1', 'experimental procedures and pdb 3aqi9', 'experimental procedures and pdb 4xc1 and 4xc3', 'experimental procedures and standard referenced sequence', 'experimental procedures and table s1', 'experimental procedures, page 180'	16				
123	chebi	N	'chebi directory'	1				
124	directory	N	'chebi directory'	1				
125	chemicals	N	'chemicals', 'supporting information, chemicals and materials'	2				
126	ching	N	'ching et al (1992)'	1				
127	chua	N	'chua et al 1990 pmid 2341191', 'chua-intra, et al. infect. immun. 1998.'	2				
128	pmid	N	'chua et al 1990 pmid 2341191', 'counsell et al 1996 pmid 8939151', 'fig 1, ref 21 (pmid: 6088507)', 'nisbet at al 1981 pmid: 7016535', 'pmid: 114187465', 'pmid: 15208742', 'pmid: 15213518', 'pmid: 21899371 figure 1', 'pmid: 30349528 corrigendum', 'pmid:25581790', 'reference cited: pmid 16154240', 'reference pmid 22529294'	13				
129	intra	N	'chua-intra, et al. infect. immun. 1998.'	1				
130	citation	N	'citation', 'reference citation'	2				
131	cite	N	'cite reference'	1				
132	p02789	N	'cited accession p02789.2'	1				
133	product	N	'cited commercial product', 'cited product', 'commercial product sheet', 'product data sheet', 'product information sheet'	5				
134	commercial	N	'cited commercial product', 'commercial data sheet', 'commercial product sheet', 'commercial source', 'text page 6 and commercial sources'	5				
135	refence	N	'cited refence'	1				
136	referce	N	'cited referce'	1				
137	referece	N	'cited referece'	1				
138	referecne	N	'cited referecne'	1				
139	referenc	N	'cited referenc'	1				
140	kim	N	'cited reference and b. kim, personal communication'	1				
141	personal	N	'cited reference and b. kim, personal communication', 'personal communication from author', 'reference cited and personal communication', 'text p. 9, personal communication, and cited reference', 'text page. 9, pageersonal communication, and cited reference'	5				
142	ncbi	N	'cited reference and ncbi'	1				
143	6dzl	Y	'cited reference and pdb 6dzl', 'figures 3, 4, s1, table s1, s2, s3, s4 and pdb 6dzl', 'table s2 and pdb 6dzl'	3				
144	6eay	Y	'cited reference and pdb 6eay'	2				
145	7tht	Y	'data s5, table 4 and pdb 7tht', 'pdb 7tht and 7the'	2				
146	4xc3	Y	'experimental procedures and pdb 4xc1 and 4xc3', 'table s2, figure s2 and pdb 4xc3'	2				
147	4xc1	Y	'experimental procedures and pdb 4xc1 and 4xc3', 'table s2, figures 1, s2 and pdb 4xc1'	2				
148	6mj6	Y	'experimental section and pdb 6mj6', 'figures 7, 8, supporting information-data collection and refinement statistics and pdb 6mj6'	2				
149	iii	N	'cited reference and table iii', 'figure 1 and supplementary table iii', 'figure 1 and table i, ii and iii', 'figure 1 and table iii', 'figure 1 and tables i and iii', 'figure 1 and tables i, ii, iii and iv', 'figure 1 and tables i, iii, and iv', 'figure 1, 4a and table iii', 'figure 1, supplemental figures i, ii, iii, supplemental table 1 and pdb 6v4p'	505				
150	s3	N	'cited reference and table s3', 'data file s1 and table s3', 'data file s3', 'data file s3, figure s3', 'data s1, data s2, data s3, data s4', 'data s1, data s2, data s3, data s4, data s5', 'data s1, data s2, data s3, data s4, data s5, data s6', 'data s1, data s2, data s3, data s4, data s6', 'data s1, data s2, data s3, data s5, data s6'	2201				
151	fig	N	'cited reference, supplementary fig. 2', 'ems fig. 1', 'extended data fig. 3', 'extended data fig. 4', 'extended data fig. 4b', 'extended data fig. 5b and extended data tables 1, 2 and pdb 4y7m', 'fig 1', 'fig 1 and 2', 'fig 1 and genbank record', 'fig 1, authors communication', 'fig 1, fig 2', 'fig 1, m and m'	285				
152	supplementary	N	'cited reference, supplementary fig. 2', 'electronic supplementary material', 'extended data figure 1 and supplementary table 1', 'extended data figure 10 and supplementary figures 3 and 4', 'extended data figure 2 and supplementary table 2', 'extended data figure 3 and supplementary figure 2', 'extended data figure 3 and supplementary table 2'	4040				
153	for	N	'cited reference: https://www.immunitrack.com/free-coronavirus-report-for-download/'	1				
154	https	N	'cited reference: https://www.immunitrack.com/free-coronavirus-report-for-download/'	1				
155	//www	N	'cited reference: https://www.immunitrack.com/free-coronavirus-report-for-download/'	1				
156	coronavirus	N	'cited reference: https://www.immunitrack.com/free-coronavirus-report-for-download/'	1				
157	download/	N	'cited reference: https://www.immunitrack.com/free-coronavirus-report-for-download/'	1				
158	com/free	N	'cited reference: https://www.immunitrack.com/free-coronavirus-report-for-download/'	1				
159	immunitrack	N	'cited reference: https://www.immunitrack.com/free-coronavirus-report-for-download/'	1				
160	reference1	N	'cited reference1'	1				
161	reference219	N	'cited reference219'	1				
162	reference2201	N	'cited reference2201'	1				
163	referencep	N	'cited referencep'	1				
164	references	N	'cited references', 'figure 1 (references)', 'figure 2 and references', 'figure 4, previous references', 'references (canaday et al., 2003)', 'references and notes'	7				
165	refernce	N	'cited refernce'	1				
166	prot	N	'cited swiss-prot', 'fig 3, swiss prot database', 'figure 2 and swiss-prot record', 'figure 5 and swiss-prot record', 'swiss prot, ref 21 (pmid: 6088507)', 'swiss-prot accession', 'swiss-prot accession p01012', 'swiss-prot entry'	8				
167	swiss	N	'cited swiss-prot', 'fig 3, swiss prot database', 'figure 2 and swiss-prot record', 'figure 5 and swiss-prot record', 'swiss prot, ref 21 (pmid: 6088507)', 'swiss-prot accession', 'swiss-prot accession p01012', 'swiss-prot entry'	8				
168	presentation	N	'clinical case presentation'	1				
169	clinical	N	'clinical case presentation', 'clinical studies page 927', 'clinical studies text page 927', 'diagnostics and clinical studies text page 927', 'supplemental data-clinical study protocol'	5				
170	studies	N	'clinical studies page 927', 'clinical studies text page 927', 'diagnostics and clinical studies text page 927'	3				
171	sheet	N	'commercial data sheet', 'commercial product sheet', 'data sheet 2', 'product data sheet', 'product information sheet', 'results page 10 and supplementary data sheet 1', 'table 1 and figure 6 and supplementary data sheet 1', 'table 1 and supplementary data sheet 1'	8				
172	source	N	'commercial source', 'figure 1 and s1 source raw', 'figure 1, figure 4-supplement 2 and 5 and figure 4 source data', 'figure 1, figure 4-supplement 2, 3, and 5 and figure 4 source data', 'figure 2 , supplementary figure 1 and source data', 'figure 2 and source data', 'figure 2, supplementary figure 1 and source data'	16				
173	concise	N	'concise methods'	1				
174	consise	N	'consise methods'	1				
175	corespondency	N	'corespondency from authors'	1				
176	from	N	'corespondency from authors', 'deduced from amino acid locations in abstract', 'deduced from cited accession', 'deduced from table s2', 'derived from author provided identifier', 'derived from author-provided identifier', 'derived from figure 11 information', 'derived from protein id', 'fig 1, received from author'	16				
177	counsell	N	'counsell et al 1996 pmid 8939151'	1				
178	datasheet	N	'dako datasheet', 'figure 3 and datasheet 2', 'figures 3, s1 and datasheet 2'	3				
179	dako	N	'dako datasheet'	1				
180	s6	N	'data file s6', 'data s1, data s2, data s3, data s4, data s5, data s6', 'data s1, data s2, data s3, data s4, data s6', 'data s1, data s2, data s3, data s5, data s6', 'data s1, data s2, data s3, data s6', 'data s1, data s2, data s4, data s5, data s6', 'data s1, data s2, data s4, data s6', 'data s1, data s2, data s5, data s6'	961				
181	not	N	'data not shown', 'data not shown, figure 3c', 'data not shown, page 1278.', 'data not shown, page 293 and figure 6.', 'data not shown, page 293.', 'data not shown, results page 2-3', 'data not shown, results page 52', 'data not shown, text page 1060.', 'data not shown, text page 2562.', 'figure 1 and data not shown'	22				
182	shown	N	'data not shown', 'data not shown, figure 3c', 'data not shown, page 1278.', 'data not shown, page 293 and figure 6.', 'data not shown, page 293.', 'data not shown, results page 2-3', 'data not shown, results page 52', 'data not shown, text page 1060.', 'data not shown, text page 2562.', 'figure 1 and data not shown'	22				
183	3c	N	'data not shown, figure 3c', 'fig 1,fig 3b, fig 3c', 'fig 3c, fig 3d', 'figure 1, 2, 3c and 4c', 'figure 1, figure 2, figure 3c', 'figure 1a, 1b, 2a and 3c.', 'figure 1a,c, 2a,c, 3c,d, 4, 5', 'figure 1c figures 2c and 3c,d', 'figure 1c, 3c,d and supplementary fig. s1', 'figure 1c,d, 3c', 'figure 2, 3c'	139				
184	s11	N	'data s4 and figures 5, s10, s11', 'data set s1 and s11', 'data set s1 and s11 and figures 1 and 2', 'data set s1 and s11 and figures 1, 2, 3, and 4', 'figure 1, table s4, figs. s10, s11', 'figure 2 and supplementary figure s11', 'figure 2 and supplementary figures s2, s11', 'figure 2, 3, 4, 5, s11'	190				
